"feature","coefficient"
"GDSC.Tissue.descriptor.2_skin_other",-0.183779305464103
"GDSC.Tissue.descriptor.2_soft_tissue_other",0.0501943611850544
"GDSC.Tissue.descriptor.2_stomach",0.00423320327114038
"GDSC.Tissue.descriptor.2_T_cell_leukemia",-0.0189503734050269
"GDSC.Tissue.descriptor.2_testis",-0.590311082149878
"GDSC.Tissue.descriptor.2_thyroid",0.120444642316711
"GDSC.Tissue.descriptor.2_urogenital_system_other",-0.0543786038827437
"TARGET_PATHWAY_ABL.signaling",0.0591563337849657
"TARGET_PATHWAY_Apoptosis.regulation",-0.308293576506705
"TARGET_PATHWAY_Cell.cycle",-0.459154348109744
"TARGET_PATHWAY_Chromatin.histone.acetylation",-0.0815599741712782
"TARGET_PATHWAY_Chromatin.histone.methylation",0.286114939605675
"TARGET_PATHWAY_Chromatin.other",0.265905351444226
"TARGET_PATHWAY_Cytoskeleton",0.0999027202958761
"TARGET_PATHWAY_DNA.replication",-0.245611500683775
"TARGET_PATHWAY_EGFR.signaling",-0.0636290990533116
"TARGET_PATHWAY_ERK.MAPK.signaling",0.0305152918042683
"TARGET_PATHWAY_Genome.integrity",0.282090438073056
"TARGET_PATHWAY_Hormone.related",0.428990368314583
"TARGET_PATHWAY_IGF1R.signaling",0.0200545533899279
"TARGET_PATHWAY_JNK.and.p38.signaling",0.706392315657225
"TARGET_PATHWAY_Metabolism",1.30432671493419
"TARGET_PATHWAY_Mitosis",-1.45482288466057
"TARGET_PATHWAY_Other",0.236879979357784
"TARGET_PATHWAY_Other..kinases",0.1376104985561
"TARGET_PATHWAY_p53.pathway",0.521798479231507
"TARGET_PATHWAY_PI3K.MTOR.signaling",-0.127372126314054
"TARGET_PATHWAY_Protein.stability.and.degradation",-0.661097810155788
"TARGET_PATHWAY_RTK.signaling",-0.115991807626133
"TARGET_PATHWAY_Unclassified",0.0166387048275296
"COSMIC_ID_X683667",-0.0771755678126685
"COSMIC_ID_X684052",-0.500413187344726
"COSMIC_ID_X684057",-0.475956090584775
"COSMIC_ID_X684059",-0.716475758955465
"COSMIC_ID_X684062",-0.0674435735343478
"COSMIC_ID_X684072",-0.631085757078601
"COSMIC_ID_X687448",1.279727470813
"COSMIC_ID_X687455",-0.131421600598863
"COSMIC_ID_X687457",0.426431525454594
"COSMIC_ID_X687459",0.721264084104803
"COSMIC_ID_X687505",-0.653488861598192
"COSMIC_ID_X687506",-0.215773294075772
"COSMIC_ID_X687514",-0.0888899341247178
"COSMIC_ID_X687561",-0.640351361262917
"COSMIC_ID_X687562",-0.862883500106267
"COSMIC_ID_X687563",-0.458719469056007
"COSMIC_ID_X687568",0.578697602435572
"COSMIC_ID_X687586",-0.135400460163027
"COSMIC_ID_X687588",0.432651692864875
"COSMIC_ID_X687590",0.156399082073137
"COSMIC_ID_X687592",-0.0387486895757644
"COSMIC_ID_X687596",0.106723099277005
"COSMIC_ID_X687600",0.109432268322618
"COSMIC_ID_X687777",0.455208618478008
"COSMIC_ID_X687780",0.076267523762866
"COSMIC_ID_X687787",-0.218330072375102
"COSMIC_ID_X687794",-0.801075507787777
"COSMIC_ID_X687798",-0.41774231483988
"COSMIC_ID_X687799",-0.861596079777877
"COSMIC_ID_X687800",1.18679315131607
"COSMIC_ID_X687802",1.12324280840085
"COSMIC_ID_X687804",-0.229784392168675
"COSMIC_ID_X687807",1.27580235379383
"COSMIC_ID_X687812",0.178319392209
"COSMIC_ID_X687815",-0.654859364896529
"COSMIC_ID_X687816",0.333143265674428
"COSMIC_ID_X687819",0.56451447423974
"COSMIC_ID_X687820",1.66872896822497
"COSMIC_ID_X687821",1.94881742793679
"COSMIC_ID_X687829",0.621030562593174
"COSMIC_ID_X687980",-0.391127088096372
"COSMIC_ID_X687983",0.109683660416235
"COSMIC_ID_X687985",-0.582326857133365
"COSMIC_ID_X687995",-0.255147064197771
"COSMIC_ID_X687997",1.18267456388852
"COSMIC_ID_X688006",0.207410638908518
"COSMIC_ID_X688010",-0.467357871751513
"COSMIC_ID_X688011",0.389334315192253
"COSMIC_ID_X688013",-0.667231462919641
"COSMIC_ID_X688014",1.03680240882244
"COSMIC_ID_X688015",-0.989895088430286
"COSMIC_ID_X688018",0.46082211297393
"COSMIC_ID_X688021",1.7576010364147
"COSMIC_ID_X688023",-0.556132735602533
"COSMIC_ID_X688025",-0.491613559886542
"COSMIC_ID_X688026",0.340580325599695
"COSMIC_ID_X688027",-0.0947719949492194
"COSMIC_ID_X688031",-0.731307122531198
"COSMIC_ID_X688058",0.31506944620776
"COSMIC_ID_X688086",-0.300930578364326
"COSMIC_ID_X688087",0.585319031043924
"COSMIC_ID_X688121",0.554173637420624
"COSMIC_ID_X713869",0.541363560188474
"COSMIC_ID_X713878",0.168062793361611
"COSMIC_ID_X713880",-0.621417461270726
"COSMIC_ID_X713885",-0.0967584951770199
"COSMIC_ID_X713899",-0.0850545107409481
"COSMIC_ID_X717431",0.143514077934667
"COSMIC_ID_X722045",-0.361255411337517
"COSMIC_ID_X722046",-1.58189060222679
"COSMIC_ID_X722058",-0.939918102939777
"COSMIC_ID_X722066",-0.00474948210588234
"COSMIC_ID_X724825",-0.655129480113336
"COSMIC_ID_X724828",0.598066436877365
"COSMIC_ID_X724831",0.121301334767778
"COSMIC_ID_X724834",0.732586567553924
"COSMIC_ID_X724838",0.42863575938394
"COSMIC_ID_X724839",1.70182721459836
"COSMIC_ID_X724855",0.792220450642701
"COSMIC_ID_X724859",-0.0517055563175082
"COSMIC_ID_X724863",0.0097072800373226
